entry_date,exit_date,entry_price,exit_price,stop_price,qqq_close,qqq_ma20,qqq_ma65,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,21.1561,20.6264,20.6264,306.5686,304.1489,,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-12,2021-04-21,25.5139,24.8745,24.8745,326.7148,312.2746,311.7779,391,9975.93,-250.0,-250.0,-1.0,stop_loss,-500.0,24500.0,9500.0
2021-04-26,2021-04-28,26.5574,25.8925,25.8925,331.5281,323.5337,315.1284,376,9985.57,-250.0,-250.0,-1.0,stop_loss,-750.0,24250.0,9250.0
2021-04-05,2021-04-30,24.2746,25.7073,23.6663,321.2609,306.5892,310.0185,411,9976.86,588.84,588.84,2.355,time_exit,-161.15999999999997,24838.84,9838.84
2021-05-24,2021-06-03,24.1839,23.5785,23.5785,322.6777,319.7417,315.4068,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-411.15999999999997,24588.84,9588.84
2021-06-14,2021-06-15,26.8105,26.1384,26.1384,334.323,323.1372,320.0062,372,9973.5,-250.0,-250.0,-1.0,stop_loss,-661.16,24338.84,9338.84
2021-06-07,2021-07-02,25.0483,30.2585,24.4217,326.6468,318.9639,317.7318,399,9994.26,2078.88,2078.88,8.316,time_exit,1417.7200000000003,26417.72,11417.720000000001
2021-06-21,2021-07-19,26.8415,29.2556,26.1695,334.565,327.5498,321.935,372,9985.04,898.04,898.04,3.592,time_exit,2315.76,27315.760000000002,12315.76
2021-06-28,2021-07-26,29.0526,32.7442,28.3259,343.649,331.6245,324.6018,344,9994.11,1269.9,1269.9,5.08,time_exit,3585.6600000000003,28585.66,13585.66
2021-07-26,2021-07-27,32.7442,31.9245,31.9245,358.0086,349.7091,332.819,305,9986.98,-250.0,-250.0,-1.0,stop_loss,3335.6600000000003,28335.66,13335.66
2021-08-09,2021-08-10,32.7514,31.9317,31.9317,358.2418,353.9271,337.3798,305,9989.17,-250.0,-250.0,-1.0,stop_loss,3085.6600000000003,28085.66,13085.66
2021-07-19,2021-08-13,29.2556,32.7466,28.5225,344.5816,345.7272,330.8585,341,9976.16,1190.43,1190.43,4.762,time_exit,4276.09,29276.09,14276.09
2021-08-16,2021-08-17,32.8039,31.9815,31.9815,358.4847,355.8751,340.6495,304,9972.39,-250.0,-250.0,-1.0,stop_loss,4026.09,29026.09,14026.09
2021-08-30,2021-09-10,35.7958,34.8998,34.8998,369.4438,358.9768,347.086,279,9987.04,-250.0,-250.0,-1.0,stop_loss,3776.09,28776.09,13776.09
2021-08-23,2021-09-20,33.8713,33.0238,33.0238,362.6137,356.4517,343.7929,295,9992.02,-250.0,-250.0,-1.0,stop_loss,3526.09,28526.09,13526.09
2021-09-27,2021-09-28,33.0403,32.2125,32.2125,360.2146,365.5007,357.3505,302,9978.17,-250.0,-250.0,-1.0,stop_loss,3276.09,28276.09,13276.09
2021-10-18,2021-11-12,33.377,39.5065,32.5409,362.4517,353.4169,358.0693,299,9979.72,1832.73,1832.73,7.331,time_exit,5108.82,30108.82,15108.82
2021-10-25,2021-11-19,34.7476,42.2979,33.8765,367.5872,354.748,359.1853,287,9972.56,2166.94,2166.94,8.668,time_exit,7275.76,32275.760000000002,17275.760000000002
2021-11-01,2021-11-29,37.4148,40.7912,36.4785,376.8271,360.9227,360.5187,267,9989.75,901.49,901.49,3.606,time_exit,8177.25,33177.25,18177.25
2021-11-29,2021-11-30,40.7912,39.7708,39.7708,388.7517,384.992,368.5808,245,9993.84,-250.0,-250.0,-1.0,stop_loss,7927.25,32927.25,17927.25
2021-12-06,2021-12-17,36.6746,35.7554,35.7554,375.6308,383.7129,369.2549,272,9975.48,-250.0,-250.0,-1.0,stop_loss,7677.25,32677.25,17677.25
2021-12-27,2021-12-29,41.4025,40.3651,40.3651,392.9392,381.5186,373.036,241,9977.99,-250.0,-250.0,-1.0,stop_loss,7427.25,32427.25,17427.25
2022-01-03,2022-01-04,40.8628,39.8382,39.8382,391.1862,384.044,375.8014,244,9970.53,-250.0,-250.0,-1.0,stop_loss,7177.25,32177.25,17177.25
2021-12-20,2022-01-07,34.9314,34.0573,34.0573,370.7446,381.5749,371.3723,286,9990.39,-250.0,-250.0,-1.0,stop_loss,6927.25,31927.25,16927.25
2022-01-10,2022-01-13,34.5279,33.6629,33.6629,370.1797,381.7013,377.8123,289,9978.57,-250.0,-250.0,-1.0,stop_loss,6677.25,31677.25,16677.25
2022-01-24,2022-01-25,27.4552,26.7684,26.7684,344.0702,373.2791,378.4629,364,9993.69,-250.0,-250.0,-1.0,stop_loss,6427.25,31427.25,16427.25
2022-01-31,2022-02-01,29.5278,28.7882,28.7882,353.5654,360.6572,376.3596,338,9980.4,-250.0,-250.0,-1.0,stop_loss,6177.25,31177.25,16177.25
2022-02-14,2022-02-17,25.5163,24.8769,24.8769,338.412,347.133,371.3379,391,9976.86,-250.0,-250.0,-1.0,stop_loss,5927.25,30927.25,15927.25
2022-02-28,2022-03-01,25.053,24.4265,24.4265,337.74,342.9146,364.2478,399,9996.16,-250.0,-250.0,-1.0,stop_loss,5677.25,30677.25,15677.25
2022-03-28,2022-03-31,28.4246,27.7124,27.7124,355.8162,332.8286,349.4378,351,9977.05,-250.0,-250.0,-1.0,stop_loss,5427.25,30427.25,15427.25
2022-04-04,2022-04-05,29.3941,28.6588,28.6588,360.0968,339.6996,346.8956,340,9993.99,-250.0,-250.0,-1.0,stop_loss,5177.25,30177.25,15177.25
2022-04-18,2022-04-21,22.5076,21.9446,21.9446,330.2496,345.9664,341.3195,444,9993.38,-250.0,-250.0,-1.0,stop_loss,4927.25,29927.25,14927.25
2022-04-25,2022-04-26,20.5591,20.0447,20.0447,321.3666,341.0291,338.6564,486,9991.75,-250.0,-250.0,-1.0,stop_loss,4677.25,29677.25,14677.25
2022-05-02,2022-05-04,18.2668,17.8098,17.8098,310.5432,329.6236,336.5564,547,9991.96,-250.0,-250.0,-1.0,stop_loss,4427.25,29427.25,14427.25
2022-05-23,2022-05-24,13.7013,13.3584,13.3584,286.1663,298.1129,324.1895,729,9988.27,-250.0,-250.0,-1.0,stop_loss,4177.25,29177.25,14177.25
