entry_date,exit_date,entry_price,exit_price,stop_price,qqq_close,qqq_ma20,qqq_ma65,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-04-05,2021-04-09,24.2746,25.6142,23.6663,321.2609,306.5893,310.0185,411,9976.86,550.56,550.56,2.202,time_exit,550.56,25550.56,10550.56
2021-04-12,2021-04-16,25.5139,26.6982,24.8745,326.7147,312.2747,311.7779,391,9975.93,463.08,463.08,1.852,time_exit,1013.6399999999999,26013.64,11013.64
2021-04-26,2021-04-28,26.5574,25.8925,25.8925,331.528,323.5337,315.1284,376,9985.57,-250.0,-250.0,-1.0,stop_loss,763.6399999999999,25763.64,10763.64
2021-05-24,2021-05-28,24.1839,24.4967,23.5785,322.6778,319.7417,315.4068,413,9987.94,129.19,129.19,0.517,time_exit,892.8299999999999,25892.83,10892.83
2021-06-07,2021-06-11,25.0483,26.0798,24.4217,326.6469,318.9639,317.7318,399,9994.26,411.58,411.58,1.646,time_exit,1304.4099999999999,26304.41,11304.41
2021-06-14,2021-06-15,26.8105,26.1384,26.1384,334.3229,323.1372,320.0062,372,9973.5,-250.0,-250.0,-1.0,stop_loss,1054.4099999999999,26054.41,11054.41
2021-06-21,2021-06-25,26.8415,28.0593,26.1695,334.565,327.5497,321.935,372,9985.04,453.02,453.02,1.812,time_exit,1507.4299999999998,26507.43,11507.43
2021-06-28,2021-07-02,29.0526,30.2585,28.3259,343.649,331.6245,324.6018,344,9994.11,414.81,414.81,1.659,time_exit,1922.2399999999998,26922.239999999998,11922.24
2021-07-26,2021-07-27,32.7442,31.9245,31.9245,358.0086,349.7091,332.819,305,9986.98,-250.0,-250.0,-1.0,stop_loss,1672.2399999999998,26672.239999999998,11672.24
2021-08-09,2021-08-10,32.7514,31.9317,31.9317,358.2417,353.9271,337.3798,305,9989.17,-250.0,-250.0,-1.0,stop_loss,1422.2399999999998,26422.239999999998,11422.24
2021-08-16,2021-08-17,32.8039,31.9815,31.9815,358.4846,355.8751,340.6495,304,9972.39,-250.0,-250.0,-1.0,stop_loss,1172.2399999999998,26172.239999999998,11172.24
2021-08-23,2021-08-27,33.8713,34.6473,33.0238,362.6138,356.4517,343.7929,295,9992.02,228.93,228.93,0.916,time_exit,1401.1699999999998,26401.17,11401.17
2021-08-30,2021-09-03,35.7959,36.1636,34.8998,369.4438,358.9768,347.086,279,9987.04,102.59,102.59,0.41,time_exit,1503.7599999999998,26503.76,11503.76
2021-10-18,2021-10-22,33.377,33.7352,32.5409,362.4516,353.4169,358.0693,299,9979.72,107.09,107.09,0.428,time_exit,1610.8499999999997,26610.85,11610.85
2021-10-25,2021-10-29,34.7476,37.0495,33.8765,367.5871,354.748,359.1853,287,9972.56,660.64,660.64,2.643,time_exit,2271.49,27271.489999999998,12271.49
2021-11-01,2021-11-05,37.4148,40.7267,36.4785,376.8272,360.9227,360.5187,267,9989.75,884.28,884.28,3.537,time_exit,3155.7699999999995,28155.77,13155.77
2021-11-29,2021-11-30,40.7912,39.7708,39.7708,388.7517,384.992,368.5808,245,9993.84,-250.0,-250.0,-1.0,stop_loss,2905.7699999999995,27905.77,12905.77
2021-12-27,2021-12-29,41.4025,40.3651,40.3651,392.9392,381.5186,373.036,241,9977.99,-250.0,-250.0,-1.0,stop_loss,2655.7699999999995,27655.77,12655.77
2022-01-03,2022-01-04,40.8628,39.8382,39.8382,391.1861,384.044,375.8014,244,9970.53,-250.0,-250.0,-1.0,stop_loss,2405.7699999999995,27405.77,12405.77
2022-03-28,2022-03-31,28.4246,27.7124,27.7124,355.8162,332.8286,349.4378,351,9977.05,-250.0,-250.0,-1.0,stop_loss,2155.7699999999995,27155.77,12155.77
2022-04-04,2022-04-05,29.3941,28.6588,28.6588,360.0967,339.6996,346.8956,340,9993.99,-250.0,-250.0,-1.0,stop_loss,1905.7699999999995,26905.77,11905.77
2022-08-01,2022-08-02,15.9077,15.5096,15.5096,308.0042,290.5289,289.8704,628,9990.02,-250.0,-250.0,-1.0,stop_loss,1655.7699999999995,26655.77,11655.77
2022-08-15,2022-08-16,18.5725,18.1078,18.1078,325.3842,307.1205,291.6807,538,9992.0,-250.0,-250.0,-1.0,stop_loss,1405.7699999999995,26405.77,11405.77
2023-01-23,2023-01-25,10.4313,10.1704,10.1704,283.4849,266.7614,271.5505,958,9993.22,-250.0,-250.0,-1.0,stop_loss,1155.7699999999995,26155.77,11155.77
2023-02-06,2023-02-09,11.9387,11.64,11.64,297.8376,282.5504,274.8233,837,9992.67,-250.0,-250.0,-1.0,stop_loss,905.7699999999995,25905.77,10905.77
2023-02-13,2023-02-14,11.9771,11.6773,11.6773,298.7304,289.3781,277.7713,834,9988.88,-250.0,-250.0,-1.0,stop_loss,655.7699999999995,25655.77,10655.77
2023-03-20,2023-03-24,11.9195,12.467,11.6211,300.6373,290.8788,282.6945,838,9988.52,458.8,458.8,1.835,time_exit,1114.5699999999995,26114.57,11114.57
2023-04-03,2023-04-05,13.5485,13.2098,13.2098,314.5702,299.6265,289.0503,738,9998.82,-250.0,-250.0,-1.0,stop_loss,864.5699999999995,25864.57,10864.57
2023-04-10,2023-04-12,13.2154,12.8847,12.8847,312.3298,304.4095,292.2189,756,9990.82,-250.0,-250.0,-1.0,stop_loss,614.5699999999995,25614.57,10614.57
