entry_date,exit_date,entry_price,exit_price,stop_price,qqq_close,qqq_ma20,qqq_ma65,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,21.1561,20.6264,20.6264,306.5686,304.1489,,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-05,2021-04-09,24.2746,25.6142,23.6663,321.2609,306.5893,310.0185,411,9976.86,550.56,550.56,2.202,time_exit,300.55999999999995,25300.56,10300.56
2021-04-12,2021-04-16,25.5139,26.6982,24.8745,326.7147,312.2747,311.7779,391,9975.93,463.08,463.08,1.852,time_exit,763.6399999999999,25763.64,10763.64
2021-04-26,2021-04-28,26.5574,25.8925,25.8925,331.528,323.5337,315.1284,376,9985.57,-250.0,-250.0,-1.0,stop_loss,513.6399999999999,25513.64,10513.64
2021-05-24,2021-05-28,24.1839,24.4967,23.5785,322.6778,319.7417,315.4068,413,9987.94,129.19,129.19,0.517,time_exit,642.8299999999999,25642.83,10642.83
2021-06-07,2021-06-11,25.0483,26.0798,24.4217,326.6469,318.9639,317.7318,399,9994.26,411.58,411.58,1.646,time_exit,1054.4099999999999,26054.41,11054.41
2021-06-14,2021-06-15,26.8105,26.1384,26.1384,334.3229,323.1372,320.0062,372,9973.5,-250.0,-250.0,-1.0,stop_loss,804.4099999999999,25804.41,10804.41
2021-06-21,2021-06-25,26.8415,28.0593,26.1695,334.565,327.5497,321.935,372,9985.04,453.02,453.02,1.812,time_exit,1257.4299999999998,26257.43,11257.43
2021-06-28,2021-07-02,29.0526,30.2585,28.3259,343.649,331.6245,324.6018,344,9994.11,414.81,414.81,1.659,time_exit,1672.2399999999998,26672.239999999998,11672.24
2021-07-19,2021-07-23,29.2556,32.6081,28.5225,344.5817,345.7272,330.8585,341,9976.16,1143.21,1143.21,4.573,time_exit,2815.45,27815.45,12815.45
2021-07-26,2021-07-27,32.7442,31.9245,31.9245,358.0086,349.7091,332.819,305,9986.98,-250.0,-250.0,-1.0,stop_loss,2565.45,27565.45,12565.45
2021-08-09,2021-08-10,32.7514,31.9317,31.9317,358.2417,353.9271,337.3798,305,9989.17,-250.0,-250.0,-1.0,stop_loss,2315.45,27315.45,12315.45
2021-08-16,2021-08-17,32.8039,31.9815,31.9815,358.4846,355.8751,340.6495,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2065.45,27065.45,12065.45
2021-08-23,2021-08-27,33.8713,34.6473,33.0238,362.6138,356.4517,343.7929,295,9992.02,228.93,228.93,0.916,time_exit,2294.3799999999997,27294.38,12294.38
2021-08-30,2021-09-03,35.7959,36.1636,34.8998,369.4438,358.9768,347.086,279,9987.04,102.59,102.59,0.41,time_exit,2396.97,27396.97,12396.97
2021-09-27,2021-09-28,33.0403,32.2125,32.2125,360.2146,365.5007,357.3505,302,9978.17,-250.0,-250.0,-1.0,stop_loss,2146.97,27146.97,12146.97
2021-10-18,2021-10-22,33.377,33.7352,32.5409,362.4516,353.4169,358.0693,299,9979.72,107.09,107.09,0.428,time_exit,2254.06,27254.06,12254.06
2021-10-25,2021-10-29,34.7476,37.0495,33.8765,367.5871,354.748,359.1853,287,9972.56,660.64,660.64,2.643,time_exit,2914.7,27914.7,12914.7
2021-11-01,2021-11-05,37.4148,40.7267,36.4785,376.8272,360.9227,360.5187,267,9989.75,884.28,884.28,3.537,time_exit,3798.9799999999996,28798.98,13798.98
2021-11-29,2021-11-30,40.7912,39.7708,39.7708,388.7517,384.992,368.5808,245,9993.84,-250.0,-250.0,-1.0,stop_loss,3548.9799999999996,28548.98,13548.98
2021-12-06,2021-12-10,36.6746,39.9889,35.7555,375.6309,383.713,369.2549,272,9975.48,901.49,901.49,3.606,time_exit,4450.469999999999,29450.47,14450.47
2021-12-20,2021-12-23,34.9315,39.5137,34.0573,370.7446,381.5749,371.3723,286,9990.4,1310.52,1310.52,5.242,time_exit,5760.99,30760.989999999998,15760.99
2021-12-27,2021-12-29,41.4025,40.3651,40.3651,392.9392,381.5186,373.036,241,9977.99,-250.0,-250.0,-1.0,stop_loss,5510.99,30510.989999999998,15510.99
2022-01-03,2022-01-04,40.8628,39.8382,39.8382,391.1861,384.044,375.8014,244,9970.53,-250.0,-250.0,-1.0,stop_loss,5260.99,30260.989999999998,15260.99
2022-01-10,2022-01-13,34.5279,33.6629,33.6629,370.1797,381.7013,377.8123,289,9978.57,-250.0,-250.0,-1.0,stop_loss,5010.99,30010.989999999998,15010.99
2022-01-24,2022-01-25,27.4552,26.7684,26.7684,344.0702,373.2791,378.4629,364,9993.69,-250.0,-250.0,-1.0,stop_loss,4760.99,29760.989999999998,14760.99
2022-01-31,2022-02-01,29.5278,28.7882,28.7882,353.5654,360.6572,376.3597,338,9980.4,-250.0,-250.0,-1.0,stop_loss,4510.99,29510.989999999998,14510.99
2022-02-14,2022-02-17,25.5163,24.8769,24.8769,338.4119,347.133,371.3379,391,9976.86,-250.0,-250.0,-1.0,stop_loss,4260.99,29260.989999999998,14260.99
2022-02-28,2022-03-01,25.053,24.4265,24.4265,337.7399,342.9146,364.2478,399,9996.16,-250.0,-250.0,-1.0,stop_loss,4010.99,29010.989999999998,14010.99
2022-03-28,2022-03-31,28.4246,27.7124,27.7124,355.8162,332.8286,349.4378,351,9977.05,-250.0,-250.0,-1.0,stop_loss,3760.99,28760.989999999998,13760.99
2022-04-04,2022-04-05,29.3941,28.6588,28.6588,360.0967,339.6996,346.8956,340,9993.99,-250.0,-250.0,-1.0,stop_loss,3510.99,28510.989999999998,13510.99
2022-04-18,2022-04-21,22.5076,21.9446,21.9446,330.2496,345.9664,341.3195,444,9993.38,-250.0,-250.0,-1.0,stop_loss,3260.99,28260.989999999998,13260.99
2022-04-25,2022-04-26,20.5592,20.0448,20.0448,321.3666,341.0291,338.6564,486,9991.75,-250.0,-250.0,-1.0,stop_loss,3010.99,28010.989999999998,13010.99
2022-05-02,2022-05-04,18.2668,17.8098,17.8098,310.5432,329.6236,336.5564,547,9991.96,-250.0,-250.0,-1.0,stop_loss,2760.99,27760.989999999998,12760.99
2022-05-23,2022-05-24,13.7013,13.3584,13.3584,286.1662,298.1129,324.1895,729,9988.27,-250.0,-250.0,-1.0,stop_loss,2510.99,27510.989999999998,12510.99
2022-08-01,2022-08-02,15.9077,15.5096,15.5096,308.0042,290.5289,289.8704,628,9990.02,-250.0,-250.0,-1.0,stop_loss,2260.99,27260.989999999998,12260.99
2022-08-15,2022-08-16,18.5725,18.1078,18.1078,325.3842,307.1205,291.6807,538,9992.0,-250.0,-250.0,-1.0,stop_loss,2010.9899999999998,27010.989999999998,12010.99
2022-09-12,2022-09-13,14.7711,14.4012,14.4012,303.5785,304.1794,294.655,676,9985.24,-250.0,-250.0,-1.0,stop_loss,1760.9899999999998,26760.989999999998,11760.99
