entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-12,2021-04-21,LONG,25.5139,24.8745,24.8745,391,9975.93,-250.0,-250.0,-1.0,stop_loss,-500.0,24500.0,9500.0
2021-04-26,2021-04-28,LONG,26.5574,25.8925,25.8925,376,9985.57,-250.0,-250.0,-1.0,stop_loss,-750.0,24250.0,9250.0
2021-04-05,2021-04-30,LONG,24.2746,25.7073,23.6663,411,9976.86,588.84,588.84,2.355,time_exit,-161.15999999999997,24838.84,9838.84
2021-05-24,2021-06-03,LONG,24.1839,23.5785,23.5785,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-411.15999999999997,24588.84,9588.84
2021-06-14,2021-06-15,LONG,26.8105,26.1384,26.1384,372,9973.49,-250.0,-250.0,-1.0,stop_loss,-661.16,24338.84,9338.84
2021-06-07,2021-07-02,LONG,25.0483,30.2585,24.4217,399,9994.25,2078.88,2078.88,8.316,time_exit,1417.7200000000003,26417.72,11417.720000000001
2021-06-21,2021-07-19,LONG,26.8415,29.2556,26.1695,372,9985.04,898.04,898.04,3.592,time_exit,2315.76,27315.760000000002,12315.76
2021-06-28,2021-07-26,LONG,29.0526,32.7442,28.3259,344,9994.11,1269.91,1269.91,5.08,time_exit,3585.67,28585.67,13585.67
2021-07-26,2021-07-27,LONG,32.7442,31.9245,31.9245,305,9986.99,-250.0,-250.0,-1.0,stop_loss,3335.67,28335.67,13335.67
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,-250.0,-1.0,stop_loss,3085.67,28085.67,13085.67
2021-07-19,2021-08-13,LONG,29.2556,32.7466,28.5225,341,9976.16,1190.43,1190.43,4.762,time_exit,4276.1,29276.1,14276.1
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,-250.0,-1.0,stop_loss,4026.1000000000004,29026.1,14026.1
2021-08-30,2021-09-10,LONG,35.7958,34.8998,34.8998,279,9987.04,-250.0,-250.0,-1.0,stop_loss,3776.1000000000004,28776.1,13776.1
2021-08-23,2021-09-20,LONG,33.8713,33.0238,33.0238,295,9992.02,-250.0,-250.0,-1.0,stop_loss,3526.1000000000004,28526.1,13526.1
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,-250.0,-1.0,stop_loss,3276.1000000000004,28276.1,13276.1
2021-10-18,2021-11-12,LONG,33.377,39.5065,32.5409,299,9979.72,1832.73,1832.73,7.331,time_exit,5108.83,30108.83,15108.83
2021-10-25,2021-11-19,LONG,34.7476,42.2979,33.8765,287,9972.56,2166.93,2166.93,8.668,time_exit,7275.76,32275.760000000002,17275.760000000002
2021-11-01,2021-11-29,LONG,37.4148,40.7912,36.4785,267,9989.75,901.49,901.49,3.606,time_exit,8177.25,33177.25,18177.25
2021-11-29,2021-11-30,LONG,40.7912,39.7708,39.7708,245,9993.84,-250.0,-250.0,-1.0,stop_loss,7927.25,32927.25,17927.25
2021-12-06,2021-12-17,LONG,36.6746,35.7554,35.7554,272,9975.48,-250.0,-250.0,-1.0,stop_loss,7677.25,32677.25,17677.25
