entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,9750.0
2021-04-05,2021-04-16,LONG,24.2746,26.6982,23.6663,411,9976.86,996.12,996.12,3.984,time_exit,746.12,10746.12
2021-04-19,2021-04-27,SHORT,25.97,26.6193,26.6193,385,9998.43,-250.0,-250.0,-1.0,stop_loss,496.12,10496.12
2021-05-03,2021-05-14,SHORT,25.287,22.9159,25.92,395,9988.38,936.59,936.59,3.746,time_exit,1432.71,11432.71
2021-05-17,2021-05-20,SHORT,22.5291,23.0934,23.0934,443,9980.39,-250.0,-250.0,-1.0,stop_loss,1182.71,11182.71
2021-05-24,2021-06-03,LONG,24.1839,23.5785,23.5785,413,9987.94,-250.0,-250.0,-1.0,stop_loss,932.71,10932.71
2021-06-07,2021-06-18,LONG,25.0483,26.3592,24.4217,399,9994.25,523.06,523.06,2.092,time_exit,1455.77,11455.77
2021-06-21,2021-07-02,LONG,26.8415,30.2585,26.1695,372,9985.04,1271.11,1271.11,5.084,time_exit,2726.88,12726.880000000001
2021-07-12,2021-07-13,SHORT,31.2256,32.0068,32.0068,320,9992.18,-250.0,-250.0,-1.0,stop_loss,2476.88,12476.880000000001
2021-07-19,2021-07-30,LONG,29.2556,31.696,28.5225,341,9976.16,832.16,832.16,3.329,time_exit,3309.04,13309.04
2021-08-02,2021-08-04,SHORT,31.6864,32.48,32.48,315,9981.22,-250.0,-250.0,-1.0,stop_loss,3059.04,13059.04
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,-250.0,-1.0,stop_loss,2809.04,12809.04
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2559.04,12559.04
2021-08-23,2021-09-03,LONG,33.8713,36.1636,33.0238,295,9992.02,676.23,676.23,2.705,time_exit,3235.27,13235.27
2021-09-13,2021-09-24,SHORT,34.676,33.8569,35.544,288,9986.68,235.88,235.88,0.944,time_exit,3471.15,13471.15
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,-250.0,-1.0,stop_loss,3221.15,13221.15
2021-10-04,2021-10-05,SHORT,28.4246,29.1369,29.1369,351,9977.05,-250.0,-250.0,-1.0,stop_loss,2971.15,12971.15
2021-10-11,2021-10-14,SHORT,29.7642,30.5105,30.5105,335,9971.01,-250.0,-250.0,-1.0,stop_loss,2721.15,12721.15
2021-10-18,2021-10-29,LONG,33.377,37.0495,32.5409,299,9979.72,1098.07,1098.07,4.392,time_exit,3819.2200000000003,13819.220000000001
2021-11-01,2021-11-12,LONG,37.4148,39.5065,36.4785,267,9989.75,558.49,558.49,2.234,time_exit,4377.71,14377.71
2021-11-15,2021-11-17,SHORT,39.4946,40.4827,40.4827,253,9992.13,-250.0,-250.0,-1.0,stop_loss,4127.71,14127.71
2021-11-22,2021-12-06,SHORT,40.8318,36.6746,41.8564,244,9962.95,1014.35,1014.35,4.057,time_exit,5142.06,15142.060000000001
2021-12-13,2021-12-15,SHORT,38.2696,39.2275,39.2275,261,9988.37,-250.0,-250.0,-1.0,stop_loss,4892.06,14892.060000000001
2021-12-20,2022-01-03,LONG,34.9314,40.8628,34.0573,286,9990.39,1696.37,1696.37,6.785,time_exit,6588.43,16588.43
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,-250.0,-1.0,stop_loss,6338.43,16338.43
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,-250.0,-1.0,stop_loss,6088.43,16088.43
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,-250.0,-1.0,stop_loss,5838.43,15838.43
2022-02-07,2022-02-08,SHORT,27.3979,28.0847,28.0847,364,9972.83,-250.0,-250.0,-1.0,stop_loss,5588.43,15588.43
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,-250.0,-1.0,stop_loss,5338.43,15338.43
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,-250.0,-1.0,stop_loss,5088.43,15088.43
2022-03-07,2022-03-08,SHORT,20.4016,20.9118,20.9118,490,9996.76,-250.0,-250.0,-1.0,stop_loss,4838.43,14838.43
2022-03-14,2022-03-15,SHORT,19.0357,19.5119,19.5119,525,9993.75,-250.0,-250.0,-1.0,stop_loss,4588.43,14588.43
2022-03-21,2022-03-22,SHORT,25.2106,25.8419,25.8419,396,9983.41,-250.0,-250.0,-1.0,stop_loss,4338.43,14338.43
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,-250.0,-1.0,stop_loss,4088.4300000000003,14088.43
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,-250.0,-1.0,stop_loss,3838.4300000000003,13838.43
2022-04-11,2022-04-12,SHORT,22.9995,23.5755,23.5755,434,9981.79,-250.0,-250.0,-1.0,stop_loss,3588.4300000000003,13588.43
2022-04-18,2022-04-21,LONG,22.5076,21.9446,21.9446,444,9993.38,-250.0,-250.0,-1.0,stop_loss,3338.4300000000003,13338.43
2022-04-25,2022-04-26,LONG,20.5592,20.0447,20.0447,486,9991.75,-250.0,-250.0,-1.0,stop_loss,3088.4300000000003,13088.43
2022-05-02,2022-05-04,LONG,18.2668,17.8098,17.8098,547,9991.96,-250.0,-250.0,-1.0,stop_loss,2838.4300000000003,12838.43
2022-05-09,2022-05-10,SHORT,14.5753,14.9397,14.9397,686,9998.63,-250.0,-250.0,-1.0,stop_loss,2588.4300000000003,12588.43
2022-05-16,2022-05-17,SHORT,14.6374,15.0034,15.0034,683,9997.31,-250.0,-250.0,-1.0,stop_loss,2338.4300000000003,12338.43
2022-05-23,2022-05-24,LONG,13.7013,13.3584,13.3584,729,9988.27,-250.0,-250.0,-1.0,stop_loss,2088.4300000000003,12088.43
2022-06-06,2022-06-07,SHORT,15.5399,15.9288,15.9288,643,9992.19,-250.0,-250.0,-1.0,stop_loss,1838.4300000000003,11838.43
2022-06-13,2022-06-14,SHORT,11.0222,11.2978,11.2978,907,9997.12,-250.0,-250.0,-1.0,stop_loss,1588.4300000000003,11588.43
2022-06-27,2022-06-28,SHORT,13.0471,13.3734,13.3734,766,9994.05,-250.0,-250.0,-1.0,stop_loss,1338.4300000000003,11338.43
2022-07-11,2022-07-12,SHORT,12.4692,12.7813,12.7813,801,9987.84,-250.0,-250.0,-1.0,stop_loss,1088.4300000000003,11088.43
2022-07-18,2022-07-19,SHORT,12.4979,12.8104,12.8104,800,9998.29,-250.0,-250.0,-1.0,stop_loss,838.4300000000003,10838.43
2022-07-25,2022-07-27,SHORT,13.8924,14.2401,14.2401,719,9988.6,-250.0,-250.0,-1.0,stop_loss,588.4300000000003,10588.43
2022-08-01,2022-08-02,LONG,15.9077,15.5096,15.5096,628,9990.02,-250.0,-250.0,-1.0,stop_loss,338.4300000000003,10338.43
2022-08-08,2022-08-10,SHORT,16.6813,17.0987,17.0987,599,9992.12,-250.0,-250.0,-1.0,stop_loss,88.43000000000029,10088.43
2022-08-15,2022-08-16,LONG,18.5725,18.1078,18.1078,538,9992.0,-250.0,-250.0,-1.0,stop_loss,-161.5699999999997,9838.43
2022-08-22,2022-08-25,SHORT,15.5543,15.9437,15.9437,642,9985.84,-250.0,-250.0,-1.0,stop_loss,-411.5699999999997,9588.43
2022-08-29,2022-09-12,SHORT,13.9974,14.3476,14.3476,714,9994.15,-250.0,-250.0,-1.0,stop_loss,-661.5699999999997,9338.43
2022-09-19,2022-09-20,LONG,12.0299,11.729,11.729,831,9996.81,-250.0,-250.0,-1.0,stop_loss,-911.5699999999997,9088.43
2022-09-26,2022-09-27,SHORT,10.0384,10.2894,10.2894,996,9998.25,-250.0,-250.0,-1.0,stop_loss,-1161.5699999999997,8838.43
2022-10-03,2022-10-07,LONG,9.8665,9.6197,9.6197,1013,9994.75,-250.0,-250.0,-1.0,stop_loss,-1411.5699999999997,8588.43
2022-10-10,2022-10-13,SHORT,9.0212,9.2468,9.2468,1108,9995.48,-250.0,-250.0,-1.0,stop_loss,-1661.5699999999997,8338.43
2022-10-17,2022-10-21,LONG,9.217,8.9864,8.9864,1084,9991.22,-250.0,-250.0,-1.0,stop_loss,-1911.5699999999997,8088.43
2022-10-24,2022-10-27,LONG,10.1578,9.9037,9.9037,984,9995.27,-250.0,-250.0,-1.0,stop_loss,-2161.5699999999997,7838.43
2022-10-31,2022-11-01,SHORT,10.005,10.2552,10.2552,999,9994.97,-250.0,-250.0,-1.0,stop_loss,-2411.5699999999997,7588.43
2022-11-07,2022-11-09,LONG,8.8445,8.6233,8.6233,1130,9994.28,-250.0,-250.0,-1.0,stop_loss,-2661.5699999999997,7338.43
2022-11-14,2022-11-15,SHORT,10.5398,10.8036,10.8036,948,9991.78,-250.0,-250.0,-1.0,stop_loss,-2911.5699999999997,7088.43
2022-11-21,2022-11-22,SHORT,10.1148,10.3679,10.3679,988,9993.44,-250.0,-250.0,-1.0,stop_loss,-3161.5699999999997,6838.43
2022-11-28,2022-11-30,SHORT,10.1626,10.4166,10.4166,984,9999.97,-250.0,-250.0,-1.0,stop_loss,-3411.5699999999997,6588.43
2022-12-05,2022-12-13,SHORT,10.6163,10.8819,10.8819,941,9989.9,-250.0,-250.0,-1.0,stop_loss,-3661.5699999999997,6338.43
2022-12-19,2022-12-21,SHORT,8.7251,8.9433,8.9433,1146,9998.97,-250.0,-250.0,-1.0,stop_loss,-3911.5699999999997,6088.43
2023-01-09,2023-01-10,SHORT,8.6456,8.8618,8.8618,1156,9994.29,-250.0,-250.0,-1.0,stop_loss,-4161.57,5838.43
