版本,交易笔数,总净盈亏,最终权益,总收益率,胜率,平均盈利,平均亏损,盈亏比PF,最大回撤,平均R,中位R,止损触发率
5D·1周,143,9577.15,19577.15,0.9577,0.3427,667.64,-246.14,1.414,-0.3681,0.268,-1.0,0.6434
10D·2周,117,11908.72,21908.72,1.1909,0.2564,1121.96,-250.0,1.548,-0.3812,0.407,-1.0,0.7436
15D·3周,109,11614.57,21614.57,1.1615,0.1927,1600.69,-250.0,1.528,-0.5125,0.426,-1.0,0.8073
20D·1月,95,19479.19,29479.19,1.9479,0.2105,1911.46,-250.0,2.039,-0.4501,0.82,-1.0,0.7895
25D·5周,86,16136.29,26136.29,1.6136,0.1977,1963.9,-250.0,1.935,-0.4344,0.751,-1.0,0.8023
30D·6周,88,9643.4,19643.4,0.9643,0.1591,2010.24,-250.0,1.521,-0.5254,0.438,-1.0,0.8409
35D·7周,83,14933.39,24933.39,1.4933,0.1446,2723.62,-250.0,1.841,-0.4881,0.72,-1.0,0.8554
40D·2月,80,19120.86,29120.86,1.9121,0.1375,3306.44,-250.0,2.108,-0.4854,0.956,-1.0,0.8625
45D·9周,81,10917.37,20917.37,1.0917,0.1235,2866.74,-250.0,1.615,-0.5303,0.539,-1.0,0.8765
50D·10周,75,15920.93,25920.93,1.5921,0.12,3602.33,-250.0,1.965,-0.4256,0.849,-1.0,0.88
55D·11周,71,18987.12,28987.12,1.8987,0.1127,4342.14,-250.0,2.206,-0.4097,1.07,-1.0,0.8873
60D·3月,68,18379.89,28379.89,1.838,0.1029,4804.27,-250.0,2.205,-0.4432,1.081,-1.0,0.8971
5D·1周,232,3993.3,13993.3,0.3993,0.2845,675.23,-244.41,1.098,-0.7074,0.069,-1.0,0.694
10D·2周,182,464.96,10464.96,0.0465,0.2033,992.3,-250.0,1.013,-0.743,0.01,-1.0,0.7967
15D·3周,161,2624.21,12624.21,0.2624,0.1615,1395.79,-249.38,1.078,-0.9653,0.065,-1.0,0.8323
20D·1月,147,4302.03,14302.03,0.4302,0.1429,1704.86,-250.0,1.137,-0.8256,0.117,-1.0,0.8571
25D·5周,141,-1000.07,8999.93,-0.1,0.1135,1876.27,-248.16,0.968,-0.8809,-0.028,-1.0,0.8794
30D·6周,147,-9662.82,337.18,-0.9663,0.0816,2007.26,-250.0,0.714,-1.1842,-0.263,-1.0,0.9184
35D·7周,140,-5236.69,4763.31,-0.5237,0.0714,2726.33,-250.0,0.839,-1.1196,-0.15,-1.0,0.9286
40D·2月,131,-4153.1,5846.9,-0.4153,0.0763,2609.69,-250.0,0.863,-1.221,-0.127,-1.0,0.9237
45D·9周,133,-7676.11,2323.89,-0.7676,0.0677,2591.54,-250.0,0.752,-1.1428,-0.231,-1.0,0.9323
50D·10周,134,-5069.2,4930.8,-0.5069,0.0597,3303.85,-250.0,0.839,-0.9364,-0.151,-1.0,0.9403
55D·11周,129,-6301.53,3698.47,-0.6302,0.0465,4074.74,-250.0,0.795,-1.0782,-0.195,-1.0,0.9535
60D·3月,127,-2672.0,7328.0,-0.2672,0.0472,4596.33,-250.0,0.912,-0.9971,-0.084,-1.0,0.9528
