entry_date,entry_time,exit_date,exit_time,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2023-06-05,09:30,2023-06-06,15:30,18.52,18.43,18.0562,539,9982.28,-48.51,-48.51,-0.194,time_exit,-48.51,24951.49,9951.49
2023-06-12,09:30,2023-06-13,15:30,18.585,19.68,18.1203,538,9998.73,589.11,589.11,2.356,time_exit,540.6,25540.6,10540.6
2023-06-26,09:30,2023-06-26,10:30,19.725,19.2309,19.2309,506,9980.85,-250.0,-250.0,-1.0,stop_loss,290.6,25290.6,10290.6
2023-07-03,09:30,2023-07-05,15:30,20.6078,20.625,20.0924,485,9994.81,8.32,8.32,0.033,time_exit,298.92,25298.92,10298.92
2023-07-10,09:30,2023-07-11,15:30,19.8986,20.2325,19.4006,502,9989.12,167.59,167.59,0.67,time_exit,466.51,25466.51,10466.51
2023-07-17,09:30,2023-07-18,15:30,22.235,23.18,21.6782,449,9983.52,424.3,424.3,1.697,time_exit,890.81,25890.81,10890.81
2023-07-24,09:30,2023-07-25,15:30,21.5,21.865,20.9624,465,9997.52,169.7,169.7,0.679,time_exit,1060.51,26060.51,11060.51
2023-08-14,09:30,2023-08-15,15:30,19.726,19.551,19.2319,506,9981.36,-88.55,-88.55,-0.354,time_exit,971.96,25971.96,10971.96
2023-08-21,09:30,2023-08-22,15:30,18.5125,18.9875,18.0495,540,9996.75,256.5,256.5,1.026,time_exit,1228.46,26228.46,11228.46
2023-09-18,09:30,2023-09-19,09:30,19.8975,19.3995,19.3995,502,9988.54,-250.0,-250.0,-1.0,stop_loss,978.46,25978.46,10978.46
2023-09-25,09:30,2023-09-26,13:30,17.675,17.2325,17.2325,565,9986.37,-250.0,-250.0,-1.0,stop_loss,728.46,25728.46,10728.46
2023-10-02,09:30,2023-10-03,09:30,18.05,17.5987,17.5987,554,9999.7,-250.0,-250.0,-1.0,stop_loss,478.46000000000004,25478.46,10478.46
2023-10-09,09:30,2023-10-10,15:30,18.3804,19.26,17.9208,544,9998.94,478.5,478.5,1.914,time_exit,956.96,25956.96,10956.96
2023-10-16,09:30,2023-10-17,09:30,19.3627,18.8782,18.8782,516,9991.15,-250.0,-250.0,-1.0,stop_loss,706.96,25706.96,10706.96
2023-10-23,09:30,2023-10-24,15:30,17.0625,17.685,16.6359,586,9998.62,364.78,364.78,1.459,time_exit,1071.74,26071.74,11071.74
2023-11-06,09:30,2023-11-07,15:30,18.9375,19.55,18.464,528,9999.0,323.4,323.4,1.294,time_exit,1395.1399999999999,26395.14,11395.14
2023-11-20,09:30,2023-11-21,15:30,21.8349,21.945,21.2879,457,9978.57,50.29,50.29,0.201,time_exit,1445.4299999999998,26445.43,11445.43
2023-11-27,09:30,2023-11-28,15:30,22.065,22.2,21.5131,453,9995.45,61.16,61.16,0.245,time_exit,1506.59,26506.59,11506.59
2023-12-11,09:30,2023-12-12,15:30,22.625,23.545,22.0581,441,9977.6,405.74,405.74,1.623,time_exit,1912.33,26912.33,11912.33
2023-12-18,09:30,2023-12-19,15:30,24.985,25.51,24.36,400,9994.0,210.0,210.0,0.84,time_exit,2122.33,27122.33,12122.33
2024-01-08,09:30,2024-01-09,15:30,23.733,24.54,23.1392,421,9991.59,339.75,339.75,1.359,time_exit,2462.08,27462.08,12462.08
2024-01-29,09:30,2024-01-30,15:30,27.812,27.965,27.1156,359,9984.51,54.93,54.93,0.22,time_exit,2517.0099999999998,27517.01,12517.01
2024-02-12,09:30,2024-02-13,09:30,30.1275,29.3722,29.3722,331,9972.2,-250.0,-250.0,-1.0,stop_loss,2267.0099999999998,27267.01,12267.01
2024-03-18,09:30,2024-03-19,09:30,30.36,29.6001,29.6001,329,9988.44,-250.0,-250.0,-1.0,stop_loss,2017.0099999999998,27017.01,12017.01
2024-03-25,09:30,2024-03-26,15:30,31.02,30.6901,30.2436,322,9988.44,-106.24,-106.24,-0.425,time_exit,1910.7699999999998,26910.77,11910.77
2024-04-01,09:30,2024-04-02,09:30,31.14,30.3612,30.3612,321,9995.94,-250.0,-250.0,-1.0,stop_loss,1660.7699999999998,26660.77,11660.77
2024-04-08,09:30,2024-04-09,10:30,30.1555,29.4002,29.4002,331,9981.45,-250.0,-250.0,-1.0,stop_loss,1410.7699999999998,26410.77,11410.77
2024-05-06,09:30,2024-05-07,15:30,28.81,29.28,28.0895,347,9997.07,163.09,163.09,0.652,time_exit,1573.8599999999997,26573.86,11573.86
2024-05-20,09:30,2024-05-21,15:30,32.0575,32.295,31.2536,311,9969.88,73.86,73.86,0.295,time_exit,1647.7199999999996,26647.72,11647.72
2024-06-10,09:30,2024-06-11,15:30,33.54,34.635,32.7011,298,9994.92,326.31,326.31,1.305,time_exit,1974.0299999999995,26974.03,11974.029999999999
2024-07-15,09:30,2024-07-15,15:30,41.1475,40.1187,40.1187,243,9998.84,-250.0,-250.0,-1.0,stop_loss,1724.0299999999995,26724.03,11724.029999999999
2024-07-22,09:30,2024-07-23,15:30,36.8649,36.675,35.9424,271,9990.4,-51.48,-51.48,-0.206,time_exit,1672.5499999999995,26672.55,11672.55
2024-07-29,09:30,2024-07-29,11:30,33.17,32.3394,32.3394,301,9984.17,-250.0,-250.0,-1.0,stop_loss,1422.5499999999995,26422.55,11422.55
2024-08-05,09:30,2024-08-06,15:30,26.0599,27.5,25.4072,383,9980.96,551.54,551.54,2.206,time_exit,1974.0899999999995,26974.09,11974.09
2024-08-12,09:30,2024-08-13,15:30,29.875,31.8,29.1265,334,9978.25,642.95,642.95,2.572,time_exit,2617.0399999999995,27617.04,12617.039999999999
2024-08-19,09:30,2024-08-20,15:30,34.3775,35.42,33.5154,290,9969.47,302.32,302.32,1.209,time_exit,2919.3599999999997,27919.36,12919.36
2024-09-23,09:30,2024-09-24,15:30,35.4425,35.835,34.556,282,9994.79,110.68,110.68,0.443,time_exit,3030.0399999999995,28030.04,13030.039999999999
2024-09-30,09:30,2024-10-01,09:30,35.77,34.8739,34.8739,279,9979.83,-250.0,-250.0,-1.0,stop_loss,2780.0399999999995,27780.04,12780.039999999999
2024-10-07,09:30,2024-10-07,14:30,35.75,34.8539,34.8539,279,9974.25,-250.0,-250.0,-1.0,stop_loss,2530.0399999999995,27530.04,12530.039999999999
2024-10-14,09:30,2024-10-15,10:30,38.2158,37.2579,37.2579,261,9974.31,-250.0,-250.0,-1.0,stop_loss,2280.0399999999995,27280.04,12280.039999999999
2024-10-21,09:30,2024-10-22,15:30,37.465,37.645,36.5252,266,9965.69,47.88,47.88,0.192,time_exit,2327.9199999999996,27327.92,12327.92
2024-11-04,09:30,2024-11-05,15:30,35.6533,36.475,34.7604,280,9982.92,230.08,230.08,0.92,time_exit,2557.9999999999995,27558.0,12558.0
2024-11-18,09:30,2024-11-19,15:30,37.9775,38.64,37.0269,263,9988.08,174.24,174.24,0.697,time_exit,2732.24,27732.239999999998,12732.24
