entry_date,entry_time,exit_date,exit_time,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2023-06-05,09:30,2023-06-05,15:30,18.52,18.445,18.0562,539,9982.28,-40.43,-40.43,-0.162,time_exit,-40.43,24959.57,9959.57
2023-06-12,09:30,2023-06-12,15:30,18.585,19.25,18.1203,538,9998.73,357.77,357.77,1.431,time_exit,317.34,25317.34,10317.34
2023-06-26,09:30,2023-06-26,10:30,19.725,19.2309,19.2309,506,9980.85,-250.0,-250.0,-1.0,stop_loss,67.33999999999997,25067.34,10067.34
2023-07-03,09:30,2023-07-03,11:30,20.6078,20.5478,20.0924,485,9994.81,-29.15,-29.15,-0.117,time_exit,38.189999999999976,25038.19,10038.19
2023-07-10,09:30,2023-07-10,15:30,19.8986,19.9575,19.4006,502,9989.12,29.54,29.54,0.118,time_exit,67.72999999999998,25067.73,10067.73
2023-07-17,09:30,2023-07-17,15:30,22.235,22.625,21.6782,449,9983.52,175.11,175.11,0.7,time_exit,242.83999999999997,25242.84,10242.84
2023-07-24,09:30,2023-07-24,15:30,21.5,21.4275,20.9624,465,9997.52,-33.74,-33.74,-0.135,time_exit,209.09999999999997,25209.1,10209.1
2023-08-14,09:30,2023-08-14,15:30,19.726,20.2195,19.2319,506,9981.36,249.71,249.71,0.999,time_exit,458.80999999999995,25458.81,10458.81
2023-08-21,09:30,2023-08-21,15:30,18.5125,19.0925,18.0495,540,9996.75,313.2,313.2,1.253,time_exit,772.01,25772.01,10772.01
2023-09-18,09:30,2023-09-18,15:30,19.8975,19.927,19.3995,502,9988.54,14.81,14.81,0.059,time_exit,786.8199999999999,25786.82,10786.82
2023-09-25,09:30,2023-09-25,15:30,17.675,18.06,17.2325,565,9986.37,217.53,217.53,0.87,time_exit,1004.3499999999999,26004.35,11004.35
2023-10-02,09:30,2023-10-02,15:30,18.05,18.245,17.5987,554,9999.7,108.03,108.03,0.432,time_exit,1112.3799999999999,26112.38,11112.38
2023-10-09,09:30,2023-10-09,15:30,18.3804,18.955,17.9208,544,9998.94,312.58,312.58,1.25,time_exit,1424.9599999999998,26424.96,11424.96
2023-10-16,09:30,2023-10-16,15:30,19.3627,19.3425,18.8782,516,9991.15,-10.42,-10.42,-0.042,time_exit,1414.5399999999997,26414.54,11414.539999999999
2023-10-23,09:30,2023-10-23,15:30,17.0625,17.19,16.6359,586,9998.62,74.72,74.72,0.299,time_exit,1489.2599999999998,26489.26,11489.26
2023-11-06,09:30,2023-11-06,15:30,18.9375,19.0151,18.464,528,9999.0,40.95,40.95,0.164,time_exit,1530.2099999999998,26530.21,11530.21
2023-11-20,09:30,2023-11-20,15:30,21.8349,22.355,21.2879,457,9978.57,237.66,237.66,0.951,time_exit,1767.87,26767.87,11767.869999999999
2023-11-27,09:30,2023-11-27,15:30,22.065,22.025,21.5131,453,9995.45,-18.1,-18.1,-0.072,time_exit,1749.77,26749.77,11749.77
2023-12-11,09:30,2023-12-11,15:30,22.625,22.995,22.0581,441,9977.6,163.19,163.19,0.653,time_exit,1912.96,26912.96,11912.96
2023-12-18,09:30,2023-12-18,15:30,24.985,25.145,24.36,400,9994.0,64.0,64.0,0.256,time_exit,1976.96,26976.96,11976.96
2024-01-08,09:30,2024-01-08,15:30,23.733,24.405,23.1392,421,9991.59,282.91,282.91,1.132,time_exit,2259.87,27259.87,12259.869999999999
2024-01-29,09:30,2024-01-29,15:30,27.812,28.56,27.1156,359,9984.51,268.53,268.53,1.074,time_exit,2528.3999999999996,27528.4,12528.4
2024-02-12,09:30,2024-02-12,15:30,30.1275,29.775,29.3722,331,9972.2,-116.68,-116.68,-0.467,time_exit,2411.72,27411.72,12411.72
2024-03-18,09:30,2024-03-18,15:30,30.36,29.685,29.6001,329,9988.44,-222.08,-222.08,-0.888,time_exit,2189.64,27189.64,12189.64
2024-03-25,09:30,2024-03-25,15:30,31.02,30.995,30.2436,322,9988.44,-8.05,-8.05,-0.032,time_exit,2181.5899999999997,27181.59,12181.59
2024-04-01,09:30,2024-04-01,15:30,31.14,30.965,30.3612,321,9995.94,-56.17,-56.17,-0.225,time_exit,2125.4199999999996,27125.42,12125.42
2024-04-08,09:30,2024-04-08,15:30,30.1555,29.94,29.4002,331,9981.45,-71.31,-71.31,-0.285,time_exit,2054.1099999999997,27054.11,12054.11
2024-05-06,09:30,2024-05-06,15:30,28.81,29.3,28.0895,347,9997.07,170.03,170.03,0.68,time_exit,2224.14,27224.14,12224.14
2024-05-20,09:30,2024-05-20,15:30,32.0575,32.125,31.2536,311,9969.88,20.99,20.99,0.084,time_exit,2245.1299999999997,27245.13,12245.13
2024-06-10,09:30,2024-06-10,15:30,33.54,33.945,32.7011,298,9994.92,120.69,120.69,0.483,time_exit,2365.8199999999997,27365.82,12365.82
