entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,trading_cost,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,0.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-05,2021-04-09,LONG,24.2746,25.6142,23.6663,411,9976.86,550.56,0.0,550.56,2.202,time_exit,300.55999999999995,25300.56,10300.56
2021-04-12,2021-04-16,LONG,25.5139,26.6982,24.8745,391,9975.93,463.08,0.0,463.08,1.852,time_exit,763.6399999999999,25763.64,10763.64
2021-04-26,2021-04-28,LONG,26.5574,25.8925,25.8925,376,9985.57,-250.0,0.0,-250.0,-1.0,stop_loss,513.6399999999999,25513.64,10513.64
2021-05-24,2021-05-28,LONG,24.1839,24.4967,23.5785,413,9987.94,129.19,0.0,129.19,0.517,time_exit,642.8299999999999,25642.83,10642.83
2021-06-07,2021-06-11,LONG,25.0483,26.0798,24.4217,399,9994.25,411.59,0.0,411.59,1.646,time_exit,1054.4199999999998,26054.42,11054.42
2021-06-14,2021-06-15,LONG,26.8105,26.1384,26.1384,372,9973.49,-250.0,0.0,-250.0,-1.0,stop_loss,804.4199999999998,25804.42,10804.42
2021-06-21,2021-06-25,LONG,26.8415,28.0593,26.1695,372,9985.04,453.02,0.0,453.02,1.812,time_exit,1257.4399999999998,26257.44,11257.44
2021-06-28,2021-07-02,LONG,29.0526,30.2585,28.3259,344,9994.11,414.81,0.0,414.81,1.659,time_exit,1672.2499999999998,26672.25,11672.25
2021-07-19,2021-07-23,LONG,29.2556,32.6081,28.5225,341,9976.16,1143.2,0.0,1143.2,4.573,time_exit,2815.45,27815.45,12815.45
2021-07-26,2021-07-27,LONG,32.7442,31.9245,31.9245,305,9986.98,-250.0,0.0,-250.0,-1.0,stop_loss,2565.45,27565.45,12565.45
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,0.0,-250.0,-1.0,stop_loss,2315.45,27315.45,12315.45
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,0.0,-250.0,-1.0,stop_loss,2065.45,27065.45,12065.45
2021-08-23,2021-08-27,LONG,33.8713,34.6473,33.0238,295,9992.02,228.93,0.0,228.93,0.916,time_exit,2294.3799999999997,27294.38,12294.38
2021-08-30,2021-09-03,LONG,35.7958,36.1636,34.8998,279,9987.04,102.59,0.0,102.59,0.41,time_exit,2396.97,27396.97,12396.97
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,0.0,-250.0,-1.0,stop_loss,2146.97,27146.97,12146.97
2021-10-18,2021-10-22,LONG,33.377,33.7352,32.5409,299,9979.72,107.1,0.0,107.1,0.428,time_exit,2254.0699999999997,27254.07,12254.07
2021-10-25,2021-10-29,LONG,34.7476,37.0494,33.8765,287,9972.56,660.63,0.0,660.63,2.643,time_exit,2914.7,27914.7,12914.7
2021-11-01,2021-11-05,LONG,37.4148,40.7267,36.4785,267,9989.75,884.28,0.0,884.28,3.537,time_exit,3798.9799999999996,28798.98,13798.98
2021-11-29,2021-11-30,LONG,40.7912,39.7708,39.7708,245,9993.84,-250.0,0.0,-250.0,-1.0,stop_loss,3548.9799999999996,28548.98,13548.98
2021-12-06,2021-12-10,LONG,36.6746,39.9889,35.7554,272,9975.48,901.49,0.0,901.49,3.606,time_exit,4450.469999999999,29450.47,14450.47
2021-12-20,2021-12-23,LONG,34.9314,39.5137,34.0573,286,9990.39,1310.52,0.0,1310.52,5.242,time_exit,5760.99,30760.989999999998,15760.99
2021-12-27,2021-12-29,LONG,41.4024,40.3651,40.3651,241,9977.99,-250.0,0.0,-250.0,-1.0,stop_loss,5510.99,30510.989999999998,15510.99
2022-01-03,2022-01-04,LONG,40.8628,39.8382,39.8382,244,9970.52,-250.0,0.0,-250.0,-1.0,stop_loss,5260.99,30260.989999999998,15260.99
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,0.0,-250.0,-1.0,stop_loss,5010.99,30010.989999999998,15010.99
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,0.0,-250.0,-1.0,stop_loss,4760.99,29760.989999999998,14760.99
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,0.0,-250.0,-1.0,stop_loss,4510.99,29510.989999999998,14510.99
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,0.0,-250.0,-1.0,stop_loss,4260.99,29260.989999999998,14260.99
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,0.0,-250.0,-1.0,stop_loss,4010.99,29010.989999999998,14010.99
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,0.0,-250.0,-1.0,stop_loss,3760.99,28760.989999999998,13760.99
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,0.0,-250.0,-1.0,stop_loss,3510.99,28510.989999999998,13510.99
2022-04-18,2022-04-21,LONG,22.5076,21.9446,21.9446,444,9993.38,-250.0,0.0,-250.0,-1.0,stop_loss,3260.99,28260.989999999998,13260.99
