entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,trading_cost,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,0.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-05,2021-04-09,LONG,24.2746,25.6142,23.6663,411,9976.86,550.56,0.0,550.56,2.202,time_exit,300.55999999999995,25300.56,10300.56
2021-04-12,2021-04-16,LONG,25.5139,26.6982,24.8745,391,9975.93,463.08,0.0,463.08,1.852,time_exit,763.6399999999999,25763.64,10763.64
2021-04-19,2021-04-23,SHORT,25.97,26.0416,26.6193,385,9998.43,-27.58,0.0,-27.58,-0.11,time_exit,736.0599999999998,25736.06,10736.06
2021-04-26,2021-04-28,LONG,26.5574,25.8925,25.8925,376,9985.57,-250.0,0.0,-250.0,-1.0,stop_loss,486.05999999999983,25486.06,10486.06
2021-05-03,2021-05-07,SHORT,25.287,24.7856,25.92,395,9988.38,198.07,0.0,198.07,0.792,time_exit,684.1299999999999,25684.13,10684.13
2021-05-10,2021-05-14,SHORT,22.9231,22.9159,23.4965,436,9994.47,3.12,0.0,3.12,0.012,time_exit,687.2499999999999,25687.25,10687.25
2021-05-17,2021-05-20,SHORT,22.5291,23.0934,23.0934,443,9980.39,-250.0,0.0,-250.0,-1.0,stop_loss,437.2499999999999,25437.25,10437.25
2021-05-24,2021-05-28,LONG,24.1839,24.4967,23.5785,413,9987.94,129.19,0.0,129.19,0.517,time_exit,566.4399999999998,25566.44,10566.44
2021-06-07,2021-06-11,LONG,25.0483,26.0798,24.4217,399,9994.25,411.59,0.0,411.59,1.646,time_exit,978.0299999999997,25978.03,10978.029999999999
2021-06-14,2021-06-15,LONG,26.8105,26.1384,26.1384,372,9973.49,-250.0,0.0,-250.0,-1.0,stop_loss,728.0299999999997,25728.03,10728.029999999999
2021-06-21,2021-06-25,LONG,26.8415,28.0593,26.1695,372,9985.04,453.02,0.0,453.02,1.812,time_exit,1181.0499999999997,26181.05,11181.05
2021-06-28,2021-07-02,LONG,29.0526,30.2585,28.3259,344,9994.11,414.81,0.0,414.81,1.659,time_exit,1595.8599999999997,26595.86,11595.86
2021-07-12,2021-07-13,SHORT,31.2256,32.0068,32.0068,320,9992.18,-250.0,0.0,-250.0,-1.0,stop_loss,1345.8599999999997,26345.86,11345.86
2021-07-19,2021-07-23,LONG,29.2556,32.6081,28.5225,341,9976.16,1143.2,0.0,1143.2,4.573,time_exit,2489.0599999999995,27489.059999999998,12489.06
2021-07-26,2021-07-27,LONG,32.7442,31.9245,31.9245,305,9986.98,-250.0,0.0,-250.0,-1.0,stop_loss,2239.0599999999995,27239.059999999998,12239.06
2021-08-02,2021-08-04,SHORT,31.6864,32.48,32.48,315,9981.21,-250.0,0.0,-250.0,-1.0,stop_loss,1989.0599999999995,26989.059999999998,11989.06
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,0.0,-250.0,-1.0,stop_loss,1739.0599999999995,26739.059999999998,11739.06
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,0.0,-250.0,-1.0,stop_loss,1489.0599999999995,26489.059999999998,11489.06
2021-08-23,2021-08-27,LONG,33.8713,34.6473,33.0238,295,9992.02,228.93,0.0,228.93,0.916,time_exit,1717.9899999999996,26717.989999999998,11717.99
2021-08-30,2021-09-03,LONG,35.7958,36.1636,34.8998,279,9987.04,102.59,0.0,102.59,0.41,time_exit,1820.5799999999995,26820.579999999998,11820.58
2021-09-13,2021-09-17,SHORT,34.676,33.9644,35.544,288,9986.68,204.93,0.0,204.93,0.82,time_exit,2025.5099999999995,27025.51,12025.51
2021-09-20,2021-09-22,SHORT,31.875,32.6738,32.6738,313,9976.89,-250.0,0.0,-250.0,-1.0,stop_loss,1775.5099999999995,26775.51,11775.51
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,0.0,-250.0,-1.0,stop_loss,1525.5099999999995,26525.51,11525.51
2021-10-04,2021-10-05,SHORT,28.4246,29.1369,29.1369,351,9977.05,-250.0,0.0,-250.0,-1.0,stop_loss,1275.5099999999995,26275.51,11275.51
2021-10-11,2021-10-14,SHORT,29.7642,30.5105,30.5105,335,9971.01,-250.0,0.0,-250.0,-1.0,stop_loss,1025.5099999999995,26025.51,11025.51
2021-10-18,2021-10-22,LONG,33.377,33.7352,32.5409,299,9979.72,107.1,0.0,107.1,0.428,time_exit,1132.6099999999994,26132.61,11132.609999999999
2021-10-25,2021-10-29,LONG,34.7476,37.0494,33.8765,287,9972.56,660.63,0.0,660.63,2.643,time_exit,1793.2399999999993,26793.239999999998,11793.24
2021-11-01,2021-11-05,LONG,37.4148,40.7267,36.4785,267,9989.75,884.28,0.0,884.28,3.537,time_exit,2677.5199999999995,27677.52,12677.52
2021-11-08,2021-11-12,SHORT,40.5596,39.5065,41.5758,246,9977.65,259.04,0.0,259.04,1.036,time_exit,2936.5599999999995,27936.559999999998,12936.56
2021-11-15,2021-11-17,SHORT,39.4946,40.4827,40.4827,253,9992.13,-250.0,0.0,-250.0,-1.0,stop_loss,2686.5599999999995,27686.559999999998,12686.56
