seg_start,seg_end,seg_days,peak,peak_date,trough,trough_date,drawdown_pct,pullback_days,ticker,thresh
2021-11-04,2021-11-09,4,168.11,2021-11-08,124.28,2022-05-11,-26.07,126.0,SOXX,75
2023-05-26,2023-05-30,2,159.86,2023-05-26,143.82,2023-10-30,-10.03,106.0,SOXX,75
2023-06-14,2023-06-14,1,168.85,2023-06-14,143.82,2023-10-30,-14.82,95.0,SOXX,75
2023-12-13,2023-12-19,5,187.26,2023-12-19,177.13,2024-01-04,-5.41,10.0,SOXX,75
2024-06-18,2024-06-18,1,256.28,2024-06-18,196.98,2024-08-07,-23.14,34.0,SOXX,75
2025-07-03,2025-07-03,1,242.32,2025-07-03,235.94,2025-08-06,-2.63,23.0,SOXX,75
2025-09-18,2025-09-18,1,267.01,2025-09-18,265.31,2025-09-19,-0.64,1.0,SOXX,75
2025-10-01,2025-10-06,4,287.76,2025-10-06,267.54,2025-11-20,-7.03,33.0,SOXX,75
2025-10-08,2025-10-08,1,290.93,2025-10-08,267.54,2025-11-20,-8.04,31.0,SOXX,75
2026-04-17,2026-04-24,6,461.6,2026-04-24,,,,,SOXX,75
2021-11-08,2021-11-09,2,168.11,2021-11-08,124.28,2022-05-11,-26.07,126.0,SOXX,80
2025-10-02,2025-10-02,1,281.1,2025-10-02,267.54,2025-11-20,-4.82,35.0,SOXX,80
2025-10-06,2025-10-06,1,287.76,2025-10-06,267.54,2025-11-20,-7.03,33.0,SOXX,80
2026-04-22,2026-04-24,3,461.6,2026-04-24,,,,,SOXX,80
2021-07-02,2021-07-07,3,350.68,2021-07-07,342.97,2021-10-04,-2.2,62.0,QQQ,75
2021-07-12,2021-07-14,3,352.74,2021-07-14,342.97,2021-10-04,-2.77,57.0,QQQ,75
2021-11-03,2021-11-08,4,387.69,2021-11-05,289.74,2022-05-09,-25.26,125.0,QQQ,75
2023-05-30,2023-05-30,1,343.88,2023-05-30,338.62,2023-10-26,-1.53,104.0,QQQ,75
2023-06-02,2023-06-06,3,348.71,2023-06-05,338.62,2023-10-26,-2.89,99.0,QQQ,75
2023-06-13,2023-06-15,3,363.81,2023-06-15,338.62,2023-10-26,-6.92,92.0,QQQ,75
2023-07-18,2023-07-19,2,379.54,2023-07-18,338.62,2023-10-26,-10.78,70.0,QQQ,75
2023-12-13,2023-12-13,1,397.82,2023-12-13,391.46,2024-01-04,-1.6,14.0,QQQ,75
2023-12-15,2023-12-19,3,403.97,2023-12-19,391.46,2024-01-04,-3.1,10.0,QQQ,75
2024-01-24,2024-01-25,2,421.16,2024-01-25,410.15,2024-04-19,-2.62,59.0,QQQ,75
2024-06-12,2024-06-18,5,479.94,2024-06-18,430.73,2024-08-07,-10.25,34.0,QQQ,75
2024-07-05,2024-07-10,4,498.29,2024-07-10,430.73,2024-08-07,-13.56,20.0,QQQ,75
2025-09-22,2025-09-22,1,600.67,2025-09-22,581.33,2026-03-20,-3.22,124.0,QQQ,75
2024-06-17,2024-06-18,2,479.94,2024-06-18,430.73,2024-08-07,-10.25,34.0,QQQ,80
2024-07-10,2024-07-10,1,498.29,2024-07-10,430.73,2024-08-07,-13.56,20.0,QQQ,80
2021-07-02,2021-07-07,3,30.86,2021-07-07,28.42,2021-10-04,-7.89,62.0,TQQQ,75
2021-07-12,2021-07-14,3,31.38,2021-07-14,28.42,2021-10-04,-9.41,57.0,TQQQ,75
2021-11-03,2021-11-08,4,40.73,2021-11-05,14.58,2022-05-09,-64.21,125.0,TQQQ,75
2023-06-02,2023-06-06,3,17.82,2023-06-05,15.0,2023-10-26,-15.81,99.0,TQQQ,75
2023-06-14,2023-06-15,2,20.09,2023-06-15,15.0,2023-10-26,-25.32,92.0,TQQQ,75
2023-07-18,2023-07-19,2,22.44,2023-07-18,15.0,2023-10-26,-33.14,70.0,TQQQ,75
2023-12-15,2023-12-19,3,24.8,2023-12-19,22.36,2024-01-04,-9.82,10.0,TQQQ,75
2024-06-12,2024-06-18,5,37.68,2024-06-18,26.16,2024-08-07,-30.57,34.0,TQQQ,75
2024-07-05,2024-07-10,4,41.77,2024-07-10,26.16,2024-08-07,-37.37,20.0,TQQQ,75
2025-09-22,2025-09-22,1,52.14,2025-09-22,43.01,2026-03-20,-17.52,124.0,TQQQ,75
2024-06-17,2024-06-18,2,37.68,2024-06-18,26.16,2024-08-07,-30.57,34.0,TQQQ,80
