seg_start,seg_end,seg_days,peak,peak_date,trough,trough_date,drawdown_pct,pullback_days
2021-07-02,2021-07-07,3,350.68,2021-07-07,342.97,2021-10-04,-2.2,62
2021-07-12,2021-07-14,3,352.74,2021-07-14,342.97,2021-10-04,-2.77,57
2021-11-03,2021-11-08,4,387.69,2021-11-05,289.74,2022-05-09,-25.26,125
2023-05-30,2023-05-30,1,343.88,2023-05-30,338.62,2023-10-26,-1.53,104
2023-06-02,2023-06-06,3,348.71,2023-06-05,338.62,2023-10-26,-2.89,99
2023-06-13,2023-06-15,3,363.81,2023-06-15,338.62,2023-10-26,-6.92,92
2023-07-18,2023-07-19,2,379.54,2023-07-18,338.62,2023-10-26,-10.78,70
2023-12-13,2023-12-13,1,397.82,2023-12-13,391.46,2024-01-04,-1.6,14
2023-12-15,2023-12-19,3,403.97,2023-12-19,391.46,2024-01-04,-3.1,10
2024-01-24,2024-01-25,2,421.16,2024-01-25,410.15,2024-04-19,-2.62,59
2024-06-12,2024-06-18,5,479.94,2024-06-18,430.73,2024-08-07,-10.25,34
2024-07-05,2024-07-10,4,498.29,2024-07-10,430.73,2024-08-07,-13.56,20
2025-09-22,2025-09-22,1,600.67,2025-09-22,581.33,2026-03-20,-3.22,124
