seg_start,seg_end,seg_days,peak,peak_date,trough,trough_date,drawdown_pct,pullback_days
2021-11-04,2021-11-09,4,168.11,2021-11-08,124.28,2022-05-11,-26.07,126.0
2023-05-26,2023-05-30,2,159.86,2023-05-26,143.82,2023-10-30,-10.03,106.0
2023-06-14,2023-06-14,1,168.85,2023-06-14,143.82,2023-10-30,-14.82,95.0
2023-12-13,2023-12-19,5,187.26,2023-12-19,177.13,2024-01-04,-5.41,10.0
2024-06-18,2024-06-18,1,256.28,2024-06-18,196.98,2024-08-07,-23.14,34.0
2025-07-03,2025-07-03,1,242.32,2025-07-03,235.94,2025-08-06,-2.63,23.0
2025-09-18,2025-09-18,1,267.01,2025-09-18,265.31,2025-09-19,-0.64,1.0
2025-10-01,2025-10-06,4,287.76,2025-10-06,267.54,2025-11-20,-7.03,33.0
2025-10-08,2025-10-08,1,290.93,2025-10-08,267.54,2025-11-20,-8.04,31.0
2026-04-17,2026-04-24,6,461.6,2026-04-24,,,,
