seg_start,seg_end,seg_days,peak,peak_date,trough,trough_date,drawdown_pct,pullback_days
2021-07-02,2021-07-07,3,30.86,2021-07-07,28.42,2021-10-04,-7.89,62
2021-07-12,2021-07-14,3,31.38,2021-07-14,28.42,2021-10-04,-9.41,57
2021-11-03,2021-11-08,4,40.73,2021-11-05,14.58,2022-05-09,-64.21,125
2023-06-02,2023-06-06,3,17.82,2023-06-05,15.0,2023-10-26,-15.81,99
2023-06-14,2023-06-15,2,20.09,2023-06-15,15.0,2023-10-26,-25.32,92
2023-07-18,2023-07-19,2,22.44,2023-07-18,15.0,2023-10-26,-33.14,70
2023-12-15,2023-12-19,3,24.8,2023-12-19,22.36,2024-01-04,-9.82,10
2024-06-12,2024-06-18,5,37.68,2024-06-18,26.16,2024-08-07,-30.57,34
2024-07-05,2024-07-10,4,41.77,2024-07-10,26.16,2024-08-07,-37.37,20
2025-09-22,2025-09-22,1,52.14,2025-09-22,43.01,2026-03-20,-17.52,124
